date,value
1953-11-20,418.8500
1953-11-24,414.1200
1953-11-25,407.4400
1953-11-26,414.4900
1953-11-27,420.3900
1953-11-30,423.0600
1953-12-01,420.9100
1953-12-02,421.7400
1953-12-03,420.3500
1953-12-04,420.1400
1953-12-07,415.6600
1953-12-08,415.8600
1953-12-09,417.8300
1953-12-10,417.5500
1953-12-11,417.7200
1953-12-14,420.6500
1953-12-15,417.6800
1953-12-16,415.4400
1953-12-17,410.9400
1953-12-18,407.9000
1953-12-21,402.1500
1953-12-22,403.0000
1953-12-23,405.2300
1953-12-24,402.9800
1953-12-25,397.1800
1953-12-28,377.9500
1954-01-04,362.8800
1954-01-05,363.2400
